var1
Very significant
Very significant
Quite a bit
Quite a bit
Very significant
Very significant
Very significant
Quite a bit
Quite a bit
A little bit
Quite a bit
Quite a bit
Very significant
Quite a bit
Very significant
A little bit
A little bit
Quite a bit
Quite a bit
Quite a bit
Very significant
Very significant
Very significant
NA
A little bit
Quite a bit
Very significant
Not at all significant
Quite a bit
Very significant
Quite a bit
Quite a bit
Very significant
Quite a bit
A little bit
NA
A little bit
A little bit
NA
Very significant
NA
Quite a bit
A little bit
Quite a bit
Quite a bit
Quite a bit
